book_id,title,genre,rating,pages,price
101,The Silent Echo,Mystery,3.4,343,14.65
102,Vanished in Fog,Fiction,4.3,190,12.01
103,Digital Horizons,Non-Fiction,4.1,432,15.55
104,Kingdom of Dust,Fantasy,3.4,300,22.7
105,The Last Archive,Fantasy,4.2,574,17.29
106,Beyond the Peak,Science Fiction,4.6,471,17.39
107,Forgotten Wars,Mystery,3,466,14.18
108,Shadow in the Attic,Romance,4.6,591,15.33
109,Autumn Whispers,Mystery,4.4,335,28.72
110,Mindful Living,Self-Help,3.7,445,22.95
111,Iron & Steam,History,3.3,248,22.17
112,The Locked Room,Fiction,4.9,510,13.41
113,Neon Dreams,Fiction,3.7,185,24.57
114,Dragon's Legacy,Mystery,3.2,173,13.26
115,Code of Ethics,Fantasy,3.2,488,17.58
116,Unsung Heroes,Fantasy,4.7,266,29.78
117,The Great Plague,Romance,4.2,545,22.79
118,Midnight Chill,Self-Help,4.6,298,21.13
119,Parisian Nights,Fiction,4.5,190,23.68
120,The Path Ahead,Romance,4.1,587,26.85
